dataset	input_total_peaks	motif	real_int	shuffled_int	p_val	adj_pval	enr_fold
mesophyll_top10000	15121.0	M01087	365.0	450.0	1.0	1.0	0.8111111111111111
mesophyll_top10000	15121.0	M01088	296.0	397.0	1.0	1.0	0.7455919395465995
mesophyll_top10000	15121.0	M01089	269.0	273.0	0.631	0.9761123986095017	0.9853479853479854
mesophyll_top10000	15121.0	M01090	314.0	335.0	0.891	1.0	0.9373134328358209
mesophyll_top10000	15121.0	M01095	952.0	246.0	0.0009	0.001804054054054054	3.869918699186992
mesophyll_top10000	15121.0	M01097	733.0	518.0	0.0009	0.001804054054054054	1.415057915057915
mesophyll_top10000	15121.0	M01098	648.0	406.0	0.0009	0.001804054054054054	1.5960591133004927
mesophyll_top10000	15121.0	M01099	719.0	338.0	0.0009	0.001804054054054054	2.1272189349112427
mesophyll_top10000	15121.0	M01100	732.0	303.5	0.0009	0.001804054054054054	2.411861614497529
mesophyll_top10000	15121.0	M01103	646.0	379.0	0.0009	0.001804054054054054	1.7044854881266491
mesophyll_top10000	15121.0	M01104	682.0	365.0	0.0009	0.001804054054054054	1.8684931506849316
mesophyll_top10000	15121.0	M01105	375.0	126.0	0.0009	0.001804054054054054	2.9761904761904763
mesophyll_top10000	15121.0	M01106	363.0	107.0	0.0009	0.001804054054054054	3.392523364485981
mesophyll_top10000	15121.0	M01107	396.0	102.0	0.0009	0.001804054054054054	3.8823529411764706
mesophyll_top10000	15121.0	M01108	370.0	113.0	0.0009	0.001804054054054054	3.274336283185841
mesophyll_top10000	15121.0	M01120	535.0	291.5	0.0009	0.001804054054054054	1.8353344768439108
mesophyll_top10000	15121.0	M01121	302.0	138.0	0.0009	0.001804054054054054	2.1884057971014492
mesophyll_top10000	15121.0	M01122	417.0	221.0	0.0009	0.001804054054054054	1.8868778280542986
mesophyll_top10000	15121.0	M01123	730.0	376.0	0.0009	0.001804054054054054	1.9414893617021276
mesophyll_top10000	15121.0	M01124	521.0	262.0	0.0009	0.001804054054054054	1.9885496183206106
mesophyll_top10000	15121.0	M01126	493.0	291.0	0.0009	0.001804054054054054	1.6941580756013745
mesophyll_top10000	15121.0	M01127	643.0	307.0	0.0009	0.001804054054054054	2.0944625407166124
mesophyll_top10000	15121.0	M01128	681.0	316.0	0.0009	0.001804054054054054	2.1550632911392404
mesophyll_top10000	15121.0	M01133	441.0	291.0	0.0009	0.001804054054054054	1.5154639175257731
mesophyll_top10000	15121.0	M01153	349.0	266.0	0.0009	0.001804054054054054	1.3120300751879699
mesophyll_top10000	15121.0	M01154	618.0	332.0	0.0009	0.001804054054054054	1.8614457831325302
mesophyll_top10000	15121.0	M01155	276.0	219.0	0.0009	0.001804054054054054	1.2602739726027397
mesophyll_top10000	15121.0	M01156	654.0	322.0	0.0009	0.001804054054054054	2.031055900621118
mesophyll_top10000	15121.0	M01157	367.0	340.0	0.084	0.1485298013245033	1.0794117647058823
mesophyll_top10000	15121.0	M01158	438.0	322.0	0.0009	0.001804054054054054	1.360248447204969
mesophyll_top10000	15121.0	M01159	517.0	325.0	0.0009	0.001804054054054054	1.5907692307692307
mesophyll_top10000	15121.0	M01160	573.0	289.0	0.0009	0.001804054054054054	1.9826989619377162
mesophyll_top10000	15121.0	M01161	515.0	318.0	0.0009	0.001804054054054054	1.619496855345912
mesophyll_top10000	15121.0	M01162	437.0	275.0	0.0009	0.001804054054054054	1.589090909090909
mesophyll_top10000	15121.0	M01163	336.0	300.0	0.018	0.03360839160839161	1.12
mesophyll_top10000	15121.0	M01167	125.0	108.0	0.061	0.10901606425702812	1.1574074074074074
mesophyll_top10000	15121.0	M01168	101.0	82.0	0.019	0.03542597765363128	1.2317073170731707
mesophyll_top10000	15121.0	M01212	433.0	546.0	1.0	1.0	0.793040293040293
mesophyll_top10000	15121.0	M01213	186.0	253.0	1.0	1.0	0.7351778656126482
mesophyll_top10000	15121.0	M01214	454.0	543.0	1.0	1.0	0.8360957642725598
mesophyll_top10000	15121.0	M01215	668.0	412.5	0.0009	0.001804054054054054	1.6193939393939394
mesophyll_top10000	15121.0	M01216	312.0	242.0	0.0009	0.001804054054054054	1.2892561983471074
mesophyll_top10000	15121.0	M01217	605.0	421.0	0.0009	0.001804054054054054	1.4370546318289785
mesophyll_top10000	15121.0	M01218	411.0	460.0	0.992	1.0	0.8934782608695652
mesophyll_top10000	15121.0	M01219	187.0	236.0	1.0	1.0	0.7923728813559322
mesophyll_top10000	15121.0	M01220	355.0	257.0	0.0009	0.001804054054054054	1.3813229571984436
mesophyll_top10000	15121.0	M01221	356.0	244.0	0.0009	0.001804054054054054	1.459016393442623
mesophyll_top10000	15121.0	M01222	318.0	374.0	0.999	1.0	0.8502673796791443
mesophyll_top10000	15121.0	M01223	446.0	573.0	1.0	1.0	0.7783595113438045
mesophyll_top10000	15121.0	M01224	403.0	436.0	0.943	1.0	0.9243119266055045
mesophyll_top10000	15121.0	M01225	681.0	395.0	0.0009	0.001804054054054054	1.7240506329113925
mesophyll_top10000	15121.0	M01238	660.0	384.0	0.0009	0.001804054054054054	1.71875
mesophyll_top10000	15121.0	M01251	430.0	383.0	0.008	0.01525714285714286	1.122715404699739
mesophyll_top10000	15121.0	M01252	2398.0	467.5	0.0009	0.001804054054054054	5.129411764705883
mesophyll_top10000	15121.0	M01254	613.0	417.0	0.0009	0.001804054054054054	1.4700239808153477
mesophyll_top10000	15121.0	M01258	757.0	346.0	0.0009	0.001804054054054054	2.1878612716763004
mesophyll_top10000	15121.0	M01263	788.0	363.0	0.0009	0.001804054054054054	2.1707988980716255
mesophyll_top10000	15121.0	M01264	278.0	470.0	1.0	1.0	0.5914893617021276
mesophyll_top10000	15121.0	M01266	240.0	422.0	1.0	1.0	0.5687203791469194
mesophyll_top10000	15121.0	M01267	1036.0	396.5	0.0009	0.001804054054054054	2.6128625472887768
mesophyll_top10000	15121.0	M01268	329.0	333.0	0.596	0.9316861826697891	0.987987987987988
mesophyll_top10000	15121.0	M01270	374.0	519.0	1.0	1.0	0.720616570327553
mesophyll_top10000	15121.0	M01277	506.0	474.0	0.056	0.10048387096774195	1.0675105485232068
mesophyll_top10000	15121.0	M01278	469.0	391.0	0.0009	0.001804054054054054	1.1994884910485935
mesophyll_top10000	15121.0	M01279	428.0	415.0	0.253	0.4211408977556109	1.0313253012048194
mesophyll_top10000	15121.0	M01281	394.0	362.0	0.051	0.09213125845737483	1.0883977900552486
mesophyll_top10000	15121.0	M01282	287.0	494.0	1.0	1.0	0.5809716599190283
mesophyll_top10000	15121.0	M01283	426.0	453.0	0.905	1.0	0.9403973509933775
mesophyll_top10000	15121.0	M01286	189.0	126.0	0.0009	0.001804054054054054	1.5
mesophyll_top10000	15121.0	M01289	488.0	381.0	0.0009	0.001804054054054054	1.2808398950131235
mesophyll_top10000	15121.0	M01290	754.0	480.0	0.0009	0.001804054054054054	1.5708333333333333
mesophyll_top10000	15121.0	M01291	640.0	373.0	0.0009	0.001804054054054054	1.7158176943699732
