GO:0051606	Zm00001d039533
GO:0006970	Zm00001d020926
GO:0010038	Zm00001d036322
GO:0022622	Zm00001d020093
GO:0010941	Zm00001d007426
GO:0034032	Zm00001d021297
GO:0051301	Zm00001d003726
GO:0070542	Zm00001d012338
GO:1990280	Zm00001d032894
GO:0015837	Zm00001d003025
GO:0006260	Zm00001d034087
GO:0009259	Zm00001d009488
GO:0071806	Zm00001d027345
GO:0009845	Zm00001d033287
GO:0006650	Zm00001d050470
GO:0034504	Zm00001d044054
GO:0009409	Zm00001d048672
GO:0009555	Zm00001d050929
GO:0009259	Zm00001d006040
GO:0031053	Zm00001d023919
GO:0051240	Zm00001d020025
GO:1902532	Zm00001d006082
GO:0009749	Zm00001d026029
GO:0009939	Zm00001d009030
GO:0006479	Zm00001d051965
GO:0033036	Zm00001d024518
GO:0009933	Zm00001d017078
GO:0006979	Zm00001d019344
GO:0045184	Zm00001d030116
GO:0043488	Zm00001d031422
GO:0046686	Zm00001d012518
GO:0006812	Zm00001d022188
GO:0090696	Zm00001d033861
GO:0045934	Zm00001d044662
GO:0009892	Zm00001d026657
GO:0000904	Zm00001d026030
GO:0009699	Zm00001d049678
GO:0062034	Zm00001d029723
GO:0016051	Zm00001d018460
GO:0010228	Zm00001d011915
GO:1901565	Zm00001d034726
GO:0071365	Zm00001d011377
GO:0010629	Zm00001d052031
GO:0098656	Zm00001d025663
GO:0009737	Zm00001d037759
GO:0070647	Zm00001d028590
GO:0071554	Zm00001d044872
GO:0033692	Zm00001d033385
GO:1905392	Zm00001d012330
GO:0140255	Zm00001d018902
GO:0010604	Zm00001d026113
GO:0032989	Zm00001d033990
GO:0016053	Zm00001d030877
GO:1904281	Zm00001d046180
GO:0009692	Zm00001d050184
GO:0009629	Zm00001d016486
GO:0045892	Zm00001d018605
GO:0045184	Zm00001d032059
GO:0009585	Zm00001d026317
GO:0019637	Zm00001d004716
GO:0045595	Zm00001d006220
GO:0008610	Zm00001d041098
GO:2000028	Zm00001d053875
GO:0009152	Zm00001d032160
GO:0048598	Zm00001d048434
GO:0045814	Zm00001d040934
GO:0072521	Zm00001d045326
GO:1901419	Zm00001d043741
GO:0016073	Zm00001d034876
GO:0048522	Zm00001d051891
GO:0046839	Zm00001d028366
GO:0048831	Zm00001d030968
GO:0005985	Zm00001d039685
GO:0048467	Zm00001d007295
GO:0042440	Zm00001d036046
GO:0006091	Zm00001d049059
GO:0009143	Zm00001d045356
GO:0046100	Zm00001d037617
GO:0042493	Zm00001d042344
GO:0010026	Zm00001d043832
GO:0046686	Zm00001d043601
GO:0009908	Zm00001d045735
GO:0051276	Zm00001d006074
GO:0048573	Zm00001d006022
GO:0060249	Zm00001d046267
GO:0071479	Zm00001d013976
GO:0080134	Zm00001d018243
GO:0033365	Zm00001d042329
GO:0045229	Zm00001d033385
GO:0048522	Zm00001d053210
GO:0006812	Zm00001d033066
GO:0016125	Zm00001d006889
GO:0062012	Zm00001d045772
GO:0010604	Zm00001d024787
GO:0032870	Zm00001d028432
GO:0042742	Zm00001d011496
GO:0035194	Zm00001d013683
GO:0009555	Zm00001d049260
GO:0042023	Zm00001d027585
GO:0048589	Zm00001d051187
GO:0010038	Zm00001d023342
